City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vaini,TO,-21.2,-175.2,81.27,77,99,10.63,moderate rain
80,Punta Arenas,CL,-53.15,-70.9167,51.12,50,44,24.0,scattered clouds
81,Muros,ES,42.7762,-9.0603,51.24,64,21,17.78,few clouds
82,Kaitangata,NZ,-46.2817,169.8464,63.61,56,91,5.46,overcast clouds
83,Makinsk,KZ,52.6292,70.4169,33.37,88,100,24.76,overcast clouds
84,Salalah,OM,17.0151,54.0924,71.24,65,68,2.39,broken clouds
85,Omboue,GA,-1.5746,9.2618,78.85,87,75,5.32,light rain
86,Bethel,US,41.3712,-73.414,45.1,45,75,6.91,broken clouds
87,Oyon,PE,-10.6681,-76.7731,49.48,89,100,8.01,light rain
88,Vanavara,RU,60.34,102.2797,-11.49,100,44,5.17,scattered clouds
89,Karwar,IN,14.8,74.1333,76.06,55,1,4.07,clear sky
90,Farmington,US,36.7281,-108.2187,49.15,35,100,9.22,overcast clouds
91,Umm Lajj,SA,25.0213,37.2685,72.99,51,98,5.68,overcast clouds
92,Manadhoo,MV,5.7667,73.3833,80.42,72,11,5.06,few clouds
93,Lere,NG,10.387,8.5726,82.27,18,39,3.44,scattered clouds
94,Dingle,PH,10.9995,122.6711,75.63,86,76,6.42,broken clouds
95,Avarua,CK,-21.2078,-159.775,84.25,74,40,10.36,scattered clouds
96,Olinda,BR,-8.0089,-34.8553,73.13,100,100,2.3,moderate rain
97,Khatanga,RU,71.9667,102.5,-19.3,97,100,7.81,overcast clouds
98,Kashi,CN,39.4547,75.9797,44.2,36,80,1.25,broken clouds
99,Paamiut,GL,61.994,-49.6678,20.05,94,100,16.13,snow
100,Dhidhdhoo,MV,6.8833,73.1,80.78,70,0,5.64,clear sky
101,Praxedis Guerrero,MX,31.3667,-106.0167,69.42,11,1,15.66,clear sky
102,Coquimbo,CL,-29.9533,-71.3436,68.63,70,68,9.08,broken clouds
103,Lavrentiya,RU,65.5833,-171.0,11.39,93,100,2.53,overcast clouds
104,Te Anau,NZ,-45.4167,167.7167,63.48,72,86,8.5,overcast clouds
105,Saint-Pierre,RE,-21.3393,55.4781,80.28,74,0,18.41,clear sky
106,Lixourion,GR,38.2019,20.4314,52.68,88,100,10.56,overcast clouds
107,Grand Island,US,40.925,-98.342,33.58,86,100,21.85,mist
108,Asau,RO,46.4333,26.4,31.28,95,89,3.0,overcast clouds
